ak, -5.2, 11.0
ar,-24.5,  8.5
az,  3.1,  6.4
ca, 26.2,  8.1
co, 12.3,  7.6
fl,  2.7,  5.4
ga,  0.5,  5.9
hi, 33.0, 11.0
ia,  1.1,  6.3
id,-25.2,  5.9
il, 13.1,  7.3
in, -8.6,  8.8
ks,-10.0,  6.0
ky,-17.8,  4.7
la,-15.1, 10.0
ma, 38.9,  0.0
md, 30.0,  7.3
me, 14.1,  8.3
me-01, 22.0,  9.3
me-02,  3.7,  8.0
mi,  7.2,  6.9
mn,  7.8,  7.6
mo, -6.9,  4.7
ms,-10.0, 10.0
mt, -8.8,  2.5
nc,  2.6,  5.4
nd,-14.0, 12.0
ne-02,  7.0, 11.0
nh,  9.7,  4.4
nj, 18.1,  7.5
nm, 14.3,  7.7
nv,  6.0,  7.0
ny, 32.0, 10.0
oh,  0.1,  6.3
ok,-24.4,  5.2
or, 15.4,  6.6
pa,  5.9,  5.8
sc, -8.3,  6.6
tx, -2.1,  6.1
ut,-12.5, 10.6
va, 11.1,  5.4
vt, 23.3, 11.8
wa, 22.0,  6.7
wi,  6.0,  6.1
wv,-14.0,  8.0
